preset	collection	source	zone	type	gender	uvX	uvY	scaleX	scaleY	rot	txd	txt
FM_CREW_M_000_A	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_MALE	0.845000	0.680000	0.050000	0.050000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_M_000_B	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_MALE	0.745000	0.620000	0.120000	0.120000	-4.320000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_M_000_C	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_MALE	1.245000	0.670000	0.130000	0.130000	-4.320000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_M_000_D	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_MALE	0.820000	0.650000	0.050000	0.050000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_M_000_E	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_MALE	0.740000	0.575000	0.100000	0.110000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_M_000_F	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_MALE	0.234000	0.675000	0.110000	0.110000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_F_000_A	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_FEMALE	0.810000	0.610000	0.040000	0.040000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_F_000_B	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_FEMALE	0.810000	0.650000	0.040000	0.040000	-9.360000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_F_000_C	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_FEMALE	0.740000	0.500000	0.100000	0.100000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
FM_CREW_F_000_D	multiplayer_overlays	common.rpf/data/effects/peds/multiplayer_overlays.xml	ZONE_TORSO	TYPE_BADGE	GENDER_FEMALE	0.740000	0.600000	0.100000	0.100000	0.000000	CREW_EMBLEM_TEXTURE	CREW_EMBLEM_TEXTURE
